record_id,Name,SIN,StreetNumber,Street,City,Province,PostalCode,DOB,PhoneNum
rec-21136-id-dup-0,Diane Fox,647 611 508,403,Club Roberts,Murraystad,Newfoundland and Labrador,79248,1971-10-07,187.277.8005
rec-21136-id-dup-1,Diane Fox,647 611 508,403,Roberts Club,Murraystad,Newfoundland and Labrador,79248,1971-10-07,187.277.8005
rec-21136-id-dup-2,Diane Fox,647 611 508,403,Roberts C lub,Murraystad,Newfoundland and Labrador,79248,1971-10-07,187.277.8005
rec-21136-id-dup-3,Diane Fox,647 611 508,403,Sandoval Groves,Murraystad,Newfoundland and Labrador,79248,1971-10-07,187.277.8005
rec-21136-id-dup-4,Diane Fox,647 611 508,403,Roberts lCub,Murraystad,Newfoundland and Labrador,79248,1971-10-07,187.277.8005
rec-21137-id,Mrs. Lisa Colon PhD,537 625 022,5287,Laura Motorway,Port Bruce,Newfoundland and Labrador,30410,1983-11-11,(271) 056-8217 x281
rec-21137-id-dup-0,Mrs. Lisa Colon PhD,537 625 022,5287,Motorway Laura,Port Bruce,Newfoundland and Labrador,30410,1983-11-11,(271) 056-8217 x281
rec-21137-id-dup-1,Mrs. Lisa Colon PhD,537 625 022,5287,Laura Motorway,Port Bruce,Newfoundland and Labrador,30410,1983-11-11,(271) 056-8217 x281
rec-21137-id-dup-2,Mrs. Lisa Colon PhD,537 625 022,5287,Robert Plains,Port Bruce,Newfoundland and Labrador,30410,1983-11-11,(271) 056-8217 x281
rec-21138-id,Laura Smith,547 016 238,9965,Nicholas Plaza,Brandyhaven,Newfoundland and Labrador,59936,1972-09-12,798 481 8673
rec-21138-id-dup-0,Laura Smith,547 016 238,9965,Nichola s Plaza,Brandyhaven,Newfoundland and Labrador,59936,1972-09-12,798 481 8673
rec-21138-id-dup-1,Laura S mith,547 016 238,9965,Nicholas Plaza,Brandyhaven,Newfoundland and Labrador,59936,1972-09-12,798 481 8673
rec-21138-id-dup-2,Laura Smith,547 016 238,9965,Nichola s Plaza,Brandyhaven,Newfoundland and Labrador,59936,1972-09-12,798 481 8673
rec-21138-id-dup-3,Laura Smith,547 016 238,9965,,Brandyhaven,Newfoundland and Labrador,59936,1972-09-12,798 481 8673
rec-21138-id-dup-4,Laura Smith,547 016 238,9965,Nicholas Plaza,Brandyhaven,Newfoundland and Labrador,59936,1972-09-12,798 481 8673
rec-21139-id,James Burton,221 853 807,107,Michelle Well,Lake Amy,Quebec,41428,2013-07-17,186 865 3498
rec-21139-id-dup-0,James Burton,221 853 807,107,,Lake Amy,Quebec,41428,2013-07-17,186 865 3498
rec-21139-id-dup-1,James Burton,221 853 807,107,Michelle Well,Lake Amy,Quebec,41428,2013-07-17,186 865 3498
rec-21139-id-dup-2,James Burton,221 853 807,107,,Lake Amy,Quebec,41428,2013-07-17,186 865 3498
rec-21139-id-dup-3,James Burton,221 853 807,107,,Lake Amy,Quebec,41428,2013-07-17,186 865 3498
rec-21139-id-dup-4,James Burton,221 853 807,107,Michell e Well,Lake Amy,Quebec,41428,2013-07-17,186 865 3498
rec-21140-id,Nancy Nelson,771 062 262,859,Cross Track,Jessicaburgh,Quebec,74961,2015-01-19,456-018-7938 x238
rec-21140-id-dup-0,Nancy Nelson,771 062 262,859,Cross Track,Jessicaburgh,Quebec,74961,2015-01-19,456-018-7938 x238
rec-21140-id-dup-1,Nancy Nelson,771 062 262,859,Cros sTrack,Jessicaburgh,Quebec,74961,2015-01-19,456-018-7938 x238
rec-21141-id,Natalie Chang,543 370 126,7222,Perez Meadow,Goodland,Nova Scotia,86540,2010-07-02,1 (316) 398-1798
rec-21141-id-dup-0,Natalie Chang,543 370 126,7222,Perez Meadow,Goodland,Nova Scotia,86540,2010-07-02,1 (316) 398-1798
rec-21141-id-dup-1,Natalie Chang,543 370 126,7222,Aguirre Fall,Goodland,Nova Scotia,86540,2010-07-02,1 (316) 398-1798
rec-21142-id,Robert Evans,877 113 407,84213,Espinoza Pines,Ruthchester,Prince Edward Island,07582,1984-01-20,1 (756) 273-5779
rec-21142-id-dup-0,Robert Evans,877 113 407,84213,Pines Espinoza,Ruthchester,Prince Edward Island,07582,1984-01-20,1 (756) 273-5779
rec-21142-id-dup-1,Robert Evans,877 113 407,84213,Espino za Pines,Ruthchester,Prince Edward Island,07582,1984-01-20,1 (756) 273-5779
rec-21142-id-dup-2,Robert E vans,877 113 407,84213,Espinoza Pines,Ruthchester,Prince Edward Island,07582,1984-01-20,1 (756) 273-5779
rec-21142-id-dup-3,Robert Evans,877 113 407,84213,,Ruthchester,Prince Edward Island,07582,1984-01-20,1 (756) 273-5779
rec-21143-id,Amy Ramirez,531 846 806,4205,Caroline Valley,Lake Kara,Prince Edward Island,86522,1992-04-13,739 788 6801
rec-21143-id-dup-0,Amy Ramirez,531 846 806,4205,Valley Caroline,Lake Kara,Prince Edward Island,86522,1992-04-13,739 788 6801
rec-21143-id-dup-1,Amy Ramirez,531 846 806,4205,Caroline Valley,Lake Kara,Prince Edward Island,86522,1992-04-13,739 788 6801
rec-21144-id,Barbara Smith,127 087 617,5097,Crystal Islands,Juliaton,New Brunswick,70824,2000-04-25,457.389.0151
rec-21144-id-dup-0,Barbara Smith,127 087 617,5097,Islands Crystal,Juliaton,New Brunswick,70824,2000-04-25,457.389.0151
rec-21144-id-dup-1,Barbara Smith,127 087 617,5097,Michael Land,Juliaton,New Brunswick,70824,2000-04-25,457.389.0151
rec-21144-id-dup-2,,127 087 617,5097,Crystal Islands,Juliaton,New Brunswick,70824,2000-04-25,457.389.0151
rec-21145-id,Gina Hernandez,418 577 037,952,Katie Terrace,New Amber,British Columbia,17021,2017-01-11,663 629 7636
rec-21145-id-dup-0,Gina Hernandez,418 577 037,952,Katie Ter race,New Amber,British Columbia,17021,2017-01-11,663 629 7636
rec-21145-id-dup-1,Gina Hernandez,418 577 037,952,Terrace Katie,New Amber,British Columbia,17021,2017-01-11,663 629 7636
rec-21145-id-dup-2,Gina Hernandez,418 577 037,952,Katie T errace,New Amber,British Columbia,17021,2017-01-11,663 629 7636
