record_id,Name,SIN,StreetNumber,Street,City,Province,PostalCode,DOB,PhoneNum
rec-11142-id-dup-3,Ricardo Collier,026 554 261,96257,Jonathan Alley,North Michelleport,Nunavut,88350,2011-12-17,852-518-9925 x420
rec-11143-id,Diane Garrison,254 066 871,407,Denise Valley,Medinafurt,Manitoba,88676,2010-11-03,(980) 430-9947 x117
rec-11143-id-dup-0,Victoria Hess,254 066 871,407,Denise Valley,Medinafurt,Manitoba,88676,2010-11-03,(980) 430-9947 x117
rec-11143-id-dup-1,Diane Garrison,254 066 871,407,Denise Valley,Medinafurt,Manitoba,88676,2010-11-03,(980) 430-9947 x117
rec-11143-id-dup-2,Diane Garrison,254 066 871,407,Denise V alley,Medinafurt,Manitoba,88676,2010-11-03,(980) 430-9947 x117
rec-11143-id-dup-3,Diane Garrison,254 066 871,407,,Medinafurt,Manitoba,88676,2010-11-03,(980) 430-9947 x117
rec-11144-id,Darren Smith,654 827 344,829,Ross Knoll,Port Patrickhaven,British Columbia,90239,1990-06-18,510 652 9621
rec-11144-id-dup-0,Darren Smith,654 827 344,829,Knoll Ross,Port Patrickhaven,British Columbia,90239,1990-06-18,510 652 9621
rec-11144-id-dup-1,Darren Smith,654 827 344,829,Ross K noll,Port Patrickhaven,British Columbia,90239,1990-06-18,510 652 9621
rec-11144-id-dup-2,Darren Smith,654 827 344,829,Ross K noll,Port Patrickhaven,British Columbia,90239,1990-06-18,510 652 9621
rec-11144-id-dup-3,Darren Sm ith,654 827 344,829,Ross Knoll,Port Patrickhaven,British Columbia,90239,1990-06-18,510 652 9621
rec-11145-id,Christopher Gilbert,605 438 456,942,Johnston Shoals,Woodmouth,Nova Scotia,48348,1973-07-09,351.207.8781
rec-11145-id-dup-0,Christopher Gilbert,605 438 456,942,Johnston S hoals,Woodmouth,Nova Scotia,48348,1973-07-09,351.207.8781
rec-11145-id-dup-1,Christopher Gilbert,605 438 456,942,Johnsto n Shoals,Woodmouth,Nova Scotia,48348,1973-07-09,351.207.8781
rec-11145-id-dup-2,Christopher Gilbert,605 438 456,942,Johnston Shoals,Woodmouth,Nova Scotia,48348,1973-07-09,351.207.8781
rec-11146-id,Eric Roy,744 067 265,7020,Santos Passage,Thomasville,Nunavut,12251,2011-03-10,(154) 646-2606
rec-11146-id-dup-0,Eric Roy,744 067 265,7020,Santos Passage,Thomasville,Nunavut,12251,2011-03-10,(154) 646-2606
rec-11146-id-dup-1,Eric R oy,744 067 265,7020,Santos Passage,Thomasville,Nunavut,12251,2011-03-10,(154) 646-2606
rec-11146-id-dup-2,Eric Roy,744 067 265,7020,Santos Pa ssage,Thomasville,Nunavut,12251,2011-03-10,(154) 646-2606
rec-11146-id-dup-3,Eric Roy,744 067 265,7020,Santos Passage,Thomasville,Nunavut,12251,2011-03-10,(154) 646-2606
rec-11146-id-dup-4,Eric Roy,744 067 265,7020,Santos Passage,Thomasville,Nunavut,12251,2011-03-10,(154) 646-2606
rec-11147-id,Susan Lawrence,627 451 354,1545,Norman Village,New Leslieside,Nunavut,10255,1986-09-08,1-642-391-9633
rec-11147-id-dup-0,Susan Lawrence,627 451 354,1545,Norman Village,New Leslieside,Nunavut,10255,1986-09-08,1-642-391-9633
rec-11147-id-dup-1,Susan Lawrence,627 451 354,1545,,New Leslieside,Nunavut,10255,1986-09-08,1-642-391-9633
rec-11147-id-dup-2,Susan Lawrence,627 451 354,1545,Village Norman,New Leslieside,Nunavut,10255,1986-09-08,1-642-391-9633
rec-11147-id-dup-3,Susan Lawrence,627 451 354,1545,Norman Village,New Leslieside,Nunavut,10255,1986-09-08,1-642-391-9633
rec-11148-id,David Hudson,357 087 626,30160,Tammy Tunnel,Joshuaside,Yukon Territory,87133,1971-05-01,474-352-6962
rec-11148-id-dup-0,David Hudson,357 087 626,30160,,Joshuaside,Yukon Territory,87133,1971-05-01,474-352-6962
rec-11149-id,Mary Harrison,376 470 258,068,Frank Path,South Katherine,Quebec,10880,2000-08-01,107-659-2236
rec-11149-id-dup-0,Mary Harrison,376 470 258,068,FrankPath,South Katherine,Quebec,10880,2000-08-01,107-659-2236
rec-11149-id-dup-1,Mary Harrison,376 470 258,068,,South Katherine,Quebec,10880,2000-08-01,107-659-2236
rec-11149-id-dup-2,Mary Harrison,376 470 258,068,Frank Path,South Katherine,Quebec,10880,2000-08-01,107-659-2236
rec-11149-id-dup-3,Mary Harirson,376 470 258,068,Frank Path,South Katherine,Quebec,10880,2000-08-01,107-659-2236
rec-11150-id,Eileen Matthews,667 022 172,06511,Chase Brooks,North Sandraville,New Brunswick,04632,1977-05-31,1 (870) 658-9913
rec-11150-id-dup-0,Eileen Matthews,667 022 172,06511,Brooks Chase,North Sandraville,New Brunswick,04632,1977-05-31,1 (870) 658-9913
rec-11150-id-dup-1,Eileen Matthews,667 022 172,06511,Colleen Junctions,North Sandraville,New Brunswick,04632,1977-05-31,1 (870) 658-9913
