record_id,Name,SIN,StreetNumber,Street,City,Province,PostalCode,DOB,PhoneNum
rec-23135-id-dup-3,Gina Murray,357 407 436,195,Ranch King,Lake Geraldberg,New Brunswick,07041,2017-11-11,(412) 959-2466 x100
rec-23136-id,Seth Solis,456 827 062,002,Parrish Freeway,West Paulachester,Nunavut,35137,1979-03-06,+1 (765) 989-5530
rec-23136-id-dup-0,Seth Solis,456 827 062,002,Edwards Lock,West Paulachester,Nunavut,35137,1979-03-06,+1 (765) 989-5530
rec-23136-id-dup-1,Seth Solis,456 827 062,002,Lindsey Union,West Paulachester,Nunavut,35137,1979-03-06,+1 (765) 989-5530
rec-23136-id-dup-2,Seth Solis,456 827 062,002,Parrish Freeway,West Paulachester,Nunavut,35137,1979-03-06,+1 (765) 989-5530
rec-23136-id-dup-3,Seth Solis,456 827 062,002,Freeway Parrish,West Paulachester,Nunavut,35137,1979-03-06,+1 (765) 989-5530
rec-23137-id,Jennifer Floyd DDS,078 271 350,5822,Liu Walk,Port Thomaston,Nunavut,90606,1981-04-17,1 (178) 017-5454
rec-23137-id-dup-0,Jennifer Floyd DDS,078 271 350,5822,Liu Walk,Port Thomaston,Nunavut,90606,1981-04-17,1 (178) 017-5454
rec-23137-id-dup-1,Jennifer Floyd DDS,078 271 350,5822,,Port Thomaston,Nunavut,90606,1981-04-17,1 (178) 017-5454
rec-23137-id-dup-2,Jennifer Floyd DDS,078 271 350,5822,Walk Liu,Port Thomaston,Nunavut,90606,1981-04-17,1 (178) 017-5454
rec-23137-id-dup-3,Jennifer Folyd DDS,078 271 350,5822,Liu Walk,Port Thomaston,Nunavut,90606,1981-04-17,1 (178) 017-5454
rec-23138-id,Daniel Garrison,467 461 174,7922,Gregg Garden,Burnsport,Newfoundland and Labrador,15355,2008-11-01,+1 (692) 573-6878
rec-23138-id-dup-0,Garrison Daniel,467 461 174,7922,Gregg Garden,Burnsport,Newfoundland and Labrador,15355,2008-11-01,+1 (692) 573-6878
rec-23138-id-dup-1,Daniel Garrison,467 461 174,7922,Garden Gregg,Burnsport,Newfoundland and Labrador,15355,2008-11-01,+1 (692) 573-6878
rec-23138-id-dup-2,Daniel Garrison,467 461 174,7922,Campbell Trail,Burnsport,Newfoundland and Labrador,15355,2008-11-01,+1 (692) 573-6878
rec-23139-id,Daniel King,044 651 651,39129,Pamela Lake,Perezville,Alberta,50738,2010-09-01,939 289 2656
rec-23139-id-dup-0,Daniel King,044 651 651,39129,Pamela Lake,Perezville,Alberta,50738,2010-09-01,939 289 2656
rec-23139-id-dup-1,Daniel King,044 651 651,39129,Pamel a Lake,Perezville,Alberta,50738,2010-09-01,939 289 2656
rec-23139-id-dup-2,Danie l King,044 651 651,39129,Pamela Lake,Perezville,Alberta,50738,2010-09-01,939 289 2656
rec-23139-id-dup-3,Daniel King,044 651 651,39129,Jesse Camp,Perezville,Alberta,50738,2010-09-01,939 289 2656
rec-23139-id-dup-4,Daniel King,044 651 651,39129,,Perezville,Alberta,50738,2010-09-01,939 289 2656
rec-23140-id,Maureen Mata,701 682 270,8352,Washington Rapid,Lake Kyle,New Brunswick,15694,1991-04-15,1-340-658-2212
rec-23140-id-dup-0,Maureen Mata,701 682 270,8352,Doyle Burg,Lake Kyle,New Brunswick,15694,1991-04-15,1-340-658-2212
rec-23140-id-dup-1,Maureen Mata,701 682 270,8352,,Lake Kyle,New Brunswick,15694,1991-04-15,1-340-658-2212
rec-23140-id-dup-2,Maureen Mata,701 682 270,8352,Rapid Washington,Lake Kyle,New Brunswick,15694,1991-04-15,1-340-658-2212
rec-23140-id-dup-3,Maureen Mata,701 682 270,8352,,Lake Kyle,New Brunswick,15694,1991-04-15,1-340-658-2212
rec-23140-id-dup-4,Maureen Mata,701 682 270,8352,Carr Forge,Lake Kyle,New Brunswick,15694,1991-04-15,1-340-658-2212
rec-23141-id,Sophia Cline,477 310 262,3928,Dakota Turnpike,Johnmouth,Newfoundland and Labrador,06789,2000-08-15,782-646-2636
rec-23141-id-dup-0,Sophia Cline,477 310 262,3928,Matthew Centers,Johnmouth,Newfoundland and Labrador,06789,2000-08-15,782-646-2636
rec-23141-id-dup-1,Sophia Cline,477 310 262,3928,Dakota Turnpike,Johnmouth,Newfoundland and Labrador,06789,2000-08-15,782-646-2636
rec-23141-id-dup-2,Sophia Cline,477 310 262,3928,,Johnmouth,Newfoundland and Labrador,06789,2000-08-15,782-646-2636
rec-23142-id,Brandon Neal,813 507 688,01511,Morrow Terrace,Meganstad,British Columbia,77702,2009-08-26,+1 (112) 660-1463
rec-23142-id-dup-0,Brandon Neal,813 507 688,01511,Morrow Terrace,Meganstad,British Columbia,77702,2009-08-26,+1 (112) 660-1463
rec-23142-id-dup-1,Brandon Neal,813 507 688,01511,,Meganstad,British Columbia,77702,2009-08-26,+1 (112) 660-1463
rec-23142-id-dup-2,Brandon Neal,813 507 688,01511,Terrace Morrow,Meganstad,British Columbia,77702,2009-08-26,+1 (112) 660-1463
rec-23142-id-dup-3,Brandon Neal,813 507 688,01511,Terrace Morrow,Meganstad,British Columbia,77702,2009-08-26,+1 (112) 660-1463
rec-23143-id,Mr. Steven Mclaughlin DDS,416 088 557,003,Heather Extension,Aprilshire,Prince Edward Island,54132,2013-01-06,670 320 4188
rec-23143-id-dup-0,Mr. Steven Mclaughlin DDS,416 088 557,003,Heather Exetnsion,Aprilshire,Prince Edward Island,54132,2013-01-06,670 320 4188
rec-23143-id-dup-1,Mr. Steven Mclaughlin DDS,416 088 557,003,Heather Exetnsion,Aprilshire,Prince Edward Island,54132,2013-01-06,670 320 4188
rec-23143-id-dup-2,Mr. Steven Mclaughlin DDS,416 088 557,003,,Aprilshire,Prince Edward Island,54132,2013-01-06,670 320 4188
rec-23144-id,David Cunningham,258 206 531,75051,Howard Islands,South Jeff,Newfoundland and Labrador,63893,1977-11-19,244 341 1602
rec-23144-id-dup-0,David Cunningham,258 206 531,75051,Howard Islands,South Jeff,Newfoundland and Labrador,63893,1977-11-19,244 341 1602
rec-23145-id,Sara Aguilar,738 147 164,688,Zamora Trail,South Stephanie,Saskatchewan,86268,1986-06-03,209 908 0781
rec-23145-id-dup-0,Sara Aguilar,738 147 164,688,Trail Zamora,South Stephanie,Saskatchewan,86268,1986-06-03,209 908 0781
rec-23145-id-dup-1,Sara Aguilar,738 147 164,688,Trail Zamora,South Stephanie,Saskatchewan,86268,1986-06-03,209 908 0781
rec-23145-id-dup-2,Sara Aguilar,738 147 164,688,Zamora rTail,South Stephanie,Saskatchewan,86268,1986-06-03,209 908 0781
